"Scenario_02_(2,2,0): MCU1(O1:ON, O2:OFF); MCU2(O1:ON, O2:OFF); MCU3(OFF); MCU4(OFF)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
32,T32: 00:32,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,280kW,21.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,280kW,21.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
33,T33: 00:33,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,280kW,21.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,280kW,21.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
34,T34: 00:34,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,21.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,21.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
35,T35: 00:35,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,22.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,22.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
36,T36: 00:36,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,22.1%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,279kW,22.1%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
37,T37: 00:37,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.1%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.1%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
38,T38: 00:38,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.2%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.2%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
39,T39: 00:39,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.3%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
40,T40: 00:40,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,278kW,22.3%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
41,T41: 00:41,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
42,T42: 00:42,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
43,T43: 00:43,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.5%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.5%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
44,T44: 00:44,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,277kW,22.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
45,T45: 00:45,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
46,T46: 00:46,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.7%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.7%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
47,T47: 00:47,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
48,T48: 00:48,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,276kW,22.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
