"Scenario_14_(0,0,4): MCU1(O1:ON, O2:ON); MCU2(O1:ON, O2:ON); MCU3(O1:ON, O2:ON); MCU4(O1:ON, O2:ON)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
138,T138: 02:18,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,256kW,23.9%,125kW,256kW,23.9%,ON,ON,OFF,ON,OFF,ON,125kW,256kW,23.9%,125kW,256kW,23.9%,ON,ON,OFF,ON,OFF,ON,125kW,256kW,23.9%,125kW,256kW,23.9%,ON,ON,OFF,ON,OFF,ON,125kW,256kW,23.9%,125kW,256kW,23.9%
139,T139: 02:19,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.0%,125kW,255kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.0%,125kW,255kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.0%,125kW,255kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.0%,125kW,255kW,24.0%
140,T140: 02:20,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%
141,T141: 02:21,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%
142,T142: 02:22,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.0%,125kW,254kW,24.0%
143,T143: 02:23,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%
144,T144: 02:24,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,254kW,24.1%,125kW,254kW,24.1%
145,T145: 02:25,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.1%,125kW,255kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.1%,125kW,255kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.1%,125kW,255kW,24.1%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.1%,125kW,255kW,24.1%
146,T146: 02:26,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%
147,T147: 02:27,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%
148,T148: 02:28,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%
149,T149: 02:29,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.2%,125kW,255kW,24.2%
150,T150: 02:30,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.3%,125kW,255kW,24.3%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.3%,125kW,255kW,24.3%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.3%,125kW,255kW,24.3%,ON,ON,OFF,ON,OFF,ON,125kW,255kW,24.3%,125kW,255kW,24.3%
